nom_entreprise,type_etablissement,ville,site_web,score,telephone
Ecole Nationale Supérieure des Arts Décoratifs,ecole_design,Paris,https://www.ensad.fr/,75,+33 1 42 34 97 00
Sup de Pub - École de Communication à Paris,ecole_communication,Paris,https://www.supdepub.com/,75,+33 1 56 07 00 00
ISEFAC Alternance Paris,centre_formation_cpf,Paris,https://www.isefac-alternance.fr/,75,+33 1 47 70 85 03
INTECH - École Supérieure d'Ingénierie Informatique,ecole_informatique,Ivry-sur-Seine,http://www.intechinfo.fr/,75,+33 1 43 90 21 21
G. TECH Paris : école Informatique à Paris,ecole_informatique,Paris,https://gaming.tech/,75,+33 4 28 29 81 03
PREPAE,bts_prepa,Paris,https://www.prepae.fr/,75,
"ICMD, Institut de Communication & Marketing Digital à Paris",ecole_informatique,Paris,http://www.icmd.fr/,73,+33 1 84 17 60 55
Ifostéo | Institut de Formations Ostéopathiques,centre_formation_cpf,Lyon,https://www.ifosteo.com/,70,+33 7 84 98 53 57
C.F.A. académique de Paris,centre_formation_cpf,Paris,https://pia.ac-paris.fr/serail/jcms/s2_1885215/fr/accueil,70,+33 1 44 62 41 48
CFA IFIR,bts_prepa,Lyon,https://www.ifir.fr/,70,+33 4 78 77 05 56
Isep,centre_formation_cpf,Paris,http://www.isep.fr/,70,+33 1 49 54 52 00
Département Informatique - IUT Lyon 1,ecole_informatique,Villeurbanne,https://iut.univ-lyon1.fr/iut/organisation-et-contacts/informatique-la-doua,70,+33 4 72 69 21 82
EPSI Gorge de Loup,ecole_ingenieur,Lyon,https://www.epsi.fr/,70,+33 4 72 85 38 50
Maestris BTS Paris,bts_prepa,Paris,https://lc.cx/tOW4Kl,70,+33 1 86 22 29 80
"Webitech, la Grande École de l'Informatique à Paris",ecole_informatique,Paris,https://webitechparis.com/,70,+33 1 76 42 13 52
"ASENSILE – Paris 11 – Bilan de Compétences, VAE, Coaching et Orientation Scolaire",bilan_competences,Paris,https://asensile.com/agences-repertoire/paris-11/,70,+33 6 19 02 31 08
Métod Paris centre de bilan de compétences,bilan_competences,Paris,http://metod.org/,70,+33 6 49 21 59 15
FF3C Formations & Conseils - Organisme de formation professionnelle,centre_formation_cpf,Paris,https://www.ff3c-formations.fr/,70,+33 1 47 63 92 59
Classe préparatoire Fénelon Sainte-Marie,centre_formation_cpf,Paris,https://www.fenelonsaintemarie.org/classes-preparatoires/,70,+33 1 47 00 32 28
Intégrale Prepa,centre_formation_cpf,Paris,https://www.integrale-prepa.com/presentation/le-rocher/,70,+33 1 43 12 87 88
Prépa Stanislas,centre_formation_cpf,Paris,https://www.stanislas.fr/unite-pedagogique/internats/prepa/,70,+33 1 42 84 88 00
Lycée Privé Blomet - Classes préparatoires,bts_prepa,Paris,https://www.blomet-enc.fr/portail-prepa/,70,
Union des Professeurs de classes préparatoires Scientifiques,centre_formation_cpf,Paris,http://www.ups-cpge.fr/,70,+33 1 73 71 46 33
