nom_entreprise,type_etablissement,ville,adresse,telephone,email,site_web,note_google,nb_avis_google,contact_nom,contact_titre,linkedin_url,score,pitch_angle,sequence_email,statut_pipeline,date_scraping,source,instantly_status
Langue Appart Paris,ecole_langues,Paris,"6 rue de Bruxelles, 75009 Paris",,info@langueappart.paris,https://www.langueappart.fr,4.6,35,,,88,eleves_pause_dej,prioritaire,contacte,2026-02-23,web_search,imported
ISCOM Paris,ecole_communication,Paris,"4 cite de Londres, 75009 Paris",,,https://www.iscom.fr,4.0,150,,,82,appels_inscription_rush,prioritaire,nouveau,2026-02-23,web_search,no_email
EFAP Paris,ecole_communication,Paris,"61-63 rue Pierre Charron, 75008 Paris",,,https://www.efap.com,3.9,120,,,78,appels_inscription_rush,standard,nouveau,2026-02-23,web_search,no_email
MJM Graphic Design Paris,ecole_design,Paris,"55 avenue du Maine, 75014 Paris",,,https://www.mjm-design.com,3.8,200,,,76,candidats_creatifs_questions,standard,nouveau,2026-02-23,web_search,no_email
Intuit Lab Paris,ecole_design,Paris,"90 rue de Javel, 75015 Paris",,info@ecole-intuit-lab.com,https://ecole-intuit-lab.com,4.2,65,,,84,candidats_creatifs_questions,prioritaire,contacte,2026-02-23,web_search,imported
ECV Paris,ecole_design,Paris,"1 rue du Dahomey, 75011 Paris",,communication@ecv.fr,https://www.ecv.fr,4.1,110,,,80,candidats_creatifs_questions,prioritaire,contacte,2026-02-23,web_search,imported
Apertis Conseil,bilan_competences,Paris,"37 rue d'Amsterdam, 75008 Paris",,info@apertisconseil.com,https://apertisconseil.com,4.5,30,,,90,reconversion_reponse_immediate,prioritaire,contacte,2026-02-23,web_search,imported
UMANEA Paris,bilan_competences,Paris,"35 bureaux Paris IDF",,contact@umanea.fr,https://www.umanea.fr,4.3,55,,,86,reconversion_reponse_immediate,prioritaire,contacte,2026-02-23,web_search,imported
Conservatoire Marietta Alboni,ecole_musique,Paris,"243 rue de Vaugirard, 75015 Paris",,,https://conservatoirealboni.com,4.4,25,,,78,eleves_appellent_soir,standard,nouveau,2026-02-23,web_search,no_email
Conservatoire International Musique Paris 16,ecole_musique,Paris,"16 rue Dufrenoy, 75116 Paris",,,https://www.conservatoireparis16.com,4.3,40,,,80,eleves_appellent_soir,prioritaire,nouveau,2026-02-23,web_search,no_email
CFPM Paris,ecole_musique,Paris,"29 rue des Petites Ecuries, 75010 Paris",,,https://www.cfpmfrance.com,4.0,55,,,76,eleves_appellent_soir,standard,nouveau,2026-02-23,web_search,no_email
ATLA Paris,ecole_musique,Paris,"12 villa de Guelma, 75018 Paris",,atla@atla.fr,https://www.atla.fr,4.2,70,,,82,eleves_appellent_soir,prioritaire,contacte,2026-02-23,web_search,imported
CIMP Paris,ecole_musique,Paris,"11 rue Beethoven, 75016 Paris",,,https://www.cimp-paris.fr,4.5,20,,,84,eleves_appellent_soir,prioritaire,nouveau,2026-02-23,web_search,no_email
Ecole de Commerce de Lyon,ecole_commerce,Lyon,"55 cours Albert Thomas, 69003 Lyon",,,https://ecole-de-commerce-de-lyon.fr,3.8,45,,,74,appels_inscription_rush,standard,nouveau,2026-02-23,web_search,no_email
CFPM Lyon,ecole_musique,Lyon,"",,,https://www.cfpmfrance.com/cfpm-lyon,4.0,30,,,72,eleves_appellent_soir,standard,nouveau,2026-02-23,web_search,no_email
Digital Campus Lyon,ecole_informatique,Lyon,"",,,https://www.digital-campus.fr,4.0,80,,,75,appels_inscription_rush,standard,nouveau,2026-02-23,web_search,no_email
