nom_entreprise,type_etablissement,ville,adresse,telephone,email,site_web,note_google,nb_avis_google,contact_nom,contact_titre,linkedin_url,score,pitch_angle,sequence_email,statut_pipeline,date_scraping,source,instantly_status
Langue Appart Paris,ecole_langues,Paris,"6 rue de Bruxelles, 75009 Paris",,info@langueappart.paris,https://www.langueappart.fr,4.6,35,,,88,eleves_pause_dej,prioritaire,contacte,2026-02-23,web_search,imported,
ISCOM Paris,ecole_communication,Paris,"4 cite de Londres, 75009 Paris",,,https://www.iscom.fr,4.0,150,,,82,appels_inscription_rush,prioritaire,nouveau,2026-02-23,web_search,no_email,
EFAP Paris,ecole_communication,Paris,"61-63 rue Pierre Charron, 75008 Paris",,,https://www.efap.com,3.9,120,,,78,appels_inscription_rush,standard,nouveau,2026-02-23,web_search,no_email,
MJM Graphic Design Paris,ecole_design,Paris,"55 avenue du Maine, 75014 Paris",,,https://www.mjm-design.com,3.8,200,,,76,candidats_creatifs_questions,standard,nouveau,2026-02-23,web_search,no_email,
Intuit Lab Paris,ecole_design,Paris,"90 rue de Javel, 75015 Paris",,info@ecole-intuit-lab.com,https://ecole-intuit-lab.com,4.2,65,,,84,candidats_creatifs_questions,prioritaire,contacte,2026-02-23,web_search,imported,
ECV Paris,ecole_design,Paris,"1 rue du Dahomey, 75011 Paris",,communication@ecv.fr,https://www.ecv.fr,4.1,110,,,80,candidats_creatifs_questions,prioritaire,contacte,2026-02-23,web_search,imported,
Apertis Conseil,bilan_competences,Paris,"37 rue d'Amsterdam, 75008 Paris",,info@apertisconseil.com,https://apertisconseil.com,4.5,30,,,90,reconversion_reponse_immediate,prioritaire,contacte,2026-02-23,web_search,imported,
UMANEA Paris,bilan_competences,Paris,35 bureaux Paris IDF,,contact@umanea.fr,https://www.umanea.fr,4.3,55,,,86,reconversion_reponse_immediate,prioritaire,contacte,2026-02-23,web_search,imported,
Conservatoire Marietta Alboni,ecole_musique,Paris,"243 rue de Vaugirard, 75015 Paris",,,https://conservatoirealboni.com,4.4,25,,,78,eleves_appellent_soir,standard,nouveau,2026-02-23,web_search,no_email,
Conservatoire International Musique Paris 16,ecole_musique,Paris,"16 rue Dufrenoy, 75116 Paris",,,https://www.conservatoireparis16.com,4.3,40,,,80,eleves_appellent_soir,prioritaire,nouveau,2026-02-23,web_search,no_email,
CFPM Paris,ecole_musique,Paris,"29 rue des Petites Ecuries, 75010 Paris",,,https://www.cfpmfrance.com,4.0,55,,,76,eleves_appellent_soir,standard,nouveau,2026-02-23,web_search,no_email,
ATLA Paris,ecole_musique,Paris,"12 villa de Guelma, 75018 Paris",,atla@atla.fr,https://www.atla.fr,4.2,70,,,82,eleves_appellent_soir,prioritaire,contacte,2026-02-23,web_search,imported,
CIMP Paris,ecole_musique,Paris,"11 rue Beethoven, 75016 Paris",,,https://www.cimp-paris.fr,4.5,20,,,84,eleves_appellent_soir,prioritaire,nouveau,2026-02-23,web_search,no_email,
Ecole de Commerce de Lyon,ecole_commerce,Lyon,"55 cours Albert Thomas, 69003 Lyon",,,https://ecole-de-commerce-de-lyon.fr,3.8,45,,,74,appels_inscription_rush,standard,nouveau,2026-02-23,web_search,no_email,
CFPM Lyon,ecole_musique,Lyon,,,,https://www.cfpmfrance.com/cfpm-lyon,4.0,30,,,72,eleves_appellent_soir,standard,nouveau,2026-02-23,web_search,no_email,
Digital Campus Lyon,ecole_informatique,Lyon,,,,https://www.digital-campus.fr,4.0,80,,,75,appels_inscription_rush,standard,nouveau,2026-02-23,web_search,no_email,
Guillosteo clinique ostéopathique universitaire,ecole_sante,Lyon,"39 Rue Pasteur, 69007 Lyon, France",+33 4 72 71 60 34,rdv.clinique@ceesolyon.fr,http://www.guillosteo.com/,4.9,225,,,,100,candidats_sante_appels_multiples,prioritaire,nouveau,2026-02-23,apify_google_maps,
"PROFORMATION | formation Anglais CPF, formation Excel CPF, formation Espagnol CPF,",centre_formation_cpf,Paris,"6 Rue de Braque, 75003 Paris, France",+33 1 48 87 64 24,contact@proformation.fr,https://proformation.fr/,4.7,341,,,,100,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
Formation Buralistes - CNFB,centre_formation_cpf,Paris,"23-25 Rue Chaptal, 75009 Paris, France",+33 1 53 21 10 30,contact@formationburalistes.fr,https://www.formationburalistes.fr/,5,480,,,,100,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
CEPROC,centre_formation_cpf,Paris,"19 Rue Goubet, 75019 Paris, France",+33 1 42 39 19 64,nbutel@ceproc.com,http://www.ceproc.com/,4.5,341,,,,100,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
GARANCE&MOI - 5A CONSEIL,bilan_competences,Paris,"1 Rue de Stockholm, 75008 Paris, France",+33 1 43 87 87 07,johannvidalenc@garance-et-moi.com,https://www.garance-et-moi.com/,4.9,857,,,,100,reconversion_reponse_immediate,prioritaire,nouveau,2026-02-23,apify_google_maps,
Epsilon Mélia - Formation continue social et médico-social,centre_formation_cpf,Paris,"22 Rue René Boulanger, 75010 Paris, France",+33 1 42 57 61 20,contact@epsilonmelia.com,https://www.epsilonmelia.com/,4.8,202,,,,100,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
CIBC Rhône,centre_formation_cpf,Lyon,"Jardin Suédois, 11 Rue Guilloud 2ème étage, 69003 Lyon, France",+33 4 72 61 80 61,contact@cibc-ain-hautesavoie.fr,https://www.cibc-auvergne-rhone-alpes.fr/cibc-rhone/qui-sommes-nous/,4.9,225,,,,100,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
Formoz - Organisme de formation CSE,centre_formation_cpf,Lyon,"8 Rue Paul Montrochet, 69002 Lyon, France",+33 7 57 90 32 16,contact@formoz.fr,https://formoz.fr/,4.9,478,,,,100,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
Kepsom By INSPIRAC Formation Coaching Management - CSE SSCT - Gestion des conflits,centre_formation_cpf,Lyon,"296 Av. Berthelot, 69008 Lyon, France",+33 6 79 65 42 81,contact@kepsom.fr,https://www.kepsom.com/,4.9,210,,,,100,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
Opus formation,centre_formation_cpf,Lyon,"93 Rue Bugeaud, 69006 Lyon, France",+33 4 72 60 79 11,contact@opusformation.eu,http://www.opusformation.eu/,4.9,380,,,,100,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
Etoile Institut de Langue,ecole_langues,Paris,"38 Bd Raspail, 75007 Paris, France",+33 1 45 48 00 05,contact@etoileinstitut.com,http://www.etoileinstitut.com/,4.6,281,,,,95,eleves_pause_dej,prioritaire,nouveau,2026-02-23,apify_google_maps,
INSTITUT SUPÉRIEUR CLORIVIÈRE,centre_formation_cpf,Paris,"119 Bd Diderot, 75012 Paris, France",+33 1 47 83 42 49,info@cloriviere.paris,https://www.cloriviere.paris/,4.5,185,,,,95,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
Monceau Langues,ecole_langues,Paris,"153 Bd Haussmann, 75008 Paris, France",+33 1 47 23 43 16,contact@monceau-langues.fr,https://www.monceau-langues.fr/,4.9,311,,,,95,eleves_pause_dej,prioritaire,nouveau,2026-02-23,apify_google_maps,
ELYSEES LANGUES,centre_formation_cpf,Paris,"153 Bd Haussmann, 75008 Paris, France",+33 1 44 09 99 22,contact@elylangues.com,http://www.elysees-langues.com/,4.9,146,,,,95,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
Ecole Suisse Internationale Paris,ecole_langues,Paris,"10 Rue des Messageries, 75010 Paris, France",+33 1 47 70 20 66,contact@ecolesuisse-fle.fr,https://www.ecolesuisse-fle.fr/,4.9,201,,,,95,eleves_pause_dej,prioritaire,nouveau,2026-02-23,apify_google_maps,
Wall Street English Lyon,ecole_langues,Lyon,"Immeuble Lafayette, 120 Rue Masséna, 69006 Lyon, France",+33 4 89 61 90 10,servicemanager-ra2@wwselyon.com,https://wallstreetenglish.fr/ecoles/cours-anglais-lyon-2-part-dieu/?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=descriptionpage&utm_content=lienprincipal&src_typ=SEO&src_det=SEO_Google_My_Business,4.8,381,,,,95,eleves_pause_dej,prioritaire,nouveau,2026-02-23,apify_google_maps,
Inflexyon École de Français,ecole_langues,Lyon,"48 Rue Quivogne, 69002 Lyon, France",+33 4 78 39 77 02,contact@inflexyon.com,https://www.inflexyon.com/,4.6,211,,,,95,eleves_pause_dej,prioritaire,nouveau,2026-02-23,apify_google_maps,
GRETA METEHOR PARIS,centre_formation_cpf,Paris,"70 Bd Bessières, 75017 Paris, France",+33 1 44 85 85 40,m.tamzali@gretametehor.com,https://gretametehor.com/,4.4,203,,,,95,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
Belformation,centre_formation_cpf,Paris,"46 Rue du Faubourg Saint-Martin, 75010 Paris, France",+33 1 77 37 80 24,contact@belformation.fr,http://belformation.fr/,4.9,144,,,,95,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
"Sunny Side : Bilan de Compétences, Formation et Coaching",centre_formation_cpf,Paris,"27 Rue de Charonne, 75011 Paris, France",+33 1 84 16 71 77,contact@sunnysideapi.com,http://www.sunnysideapi.com/,5,130,,,,95,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
American Teachers,ecole_langues,Lyon,"9 bis Rue Gabillot, 69003 Lyon, France",+33 4 72 84 97 80,contact@american-teachers.com,https://www.american-teachers.com/,5,335,,,,95,eleves_pause_dej,prioritaire,nouveau,2026-02-23,apify_google_maps,
KeepSchool - Formation Professionnelle,centre_formation_cpf,Paris,"40 Rue du Louvre, 75001 Paris, France",+33 9 63 56 60 90,emilie.maille@keepschool.com,https://keepschool.com/,5,107,,,,95,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
PST&B Paris,ecole_commerce,Paris,"41 Rue Chanzy, 75011 Paris, France",+33 1 86 47 93 66,contact@pstb.fr,https://www.pstb.fr/?utm_campaign=gmb&utm_medium=organic&utm_source=google,4.7,130,,,,95,appels_inscription_rush,prioritaire,nouveau,2026-02-23,apify_google_maps,
Formation SST PARIS 15,centre_formation_cpf,Paris,"12 Rue Falguière, 75015 Paris, France",+33 1 48 92 92 79,contact@flobel.fr,https://www.formation-sst.net/,5,138,,,,95,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
Sound Academy Paris,ecole_musique,Paris,"23 Rue Blondel, 75002 Paris, France",+33 1 89 71 87 03,contact@sound-academy.co,https://www.sound-academy.co/,5,609,,,,95,eleves_appellent_soir,prioritaire,nouveau,2026-02-23,apify_google_maps,
Activ'PNL,centre_formation_cpf,Lyon,"15b Rue des Noyers, 69005 Lyon, France",+33 6 10 29 65 36,infos@activpnl.com,http://www.activpnl.com/,4.9,104,,,,95,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
Optedif formation,centre_formation_cpf,Lyon,"80 Cours Dr Long, 69003 Lyon, France",+33 9 72 65 24 84,contact@optedif.fr,https://fr.optedif-formation.fr/,4.7,177,,,,95,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
Alternance Academy,centre_formation_cpf,Paris,"156 Rue du Faubourg Saint-Denis, 75010 Paris, France",+33 1 43 38 83 50,contact@alternance-academy.com,https://www.alternance-academy.com/,4.7,60,,,,93,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
École de Décoration et d'Architecture d'Intérieur,centre_formation_cpf,Paris,"5 bis Rue Auguste Comte, 75006 Paris, France",+33 1 84 80 96 11,contact@edai.fr,http://www.edai.fr/,4.8,55,,,,93,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
Institut supérieur d'électronique de Paris (ISEP),centre_formation_cpf,Issy-les-Moulineaux,"10 Rue de Vanves, 92130 Issy-les-Moulineaux, France",+33 1 49 54 52 00,info@isep.fr,https://www.isep.fr/,4.8,53,,,,93,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
Ecole d'ingénieurs Paris-Sud Ivry - ESME,centre_formation_cpf,Ivry-sur-Seine,"38 Rue Molière, 94200 Ivry-sur-Seine, France",+33 1 56 20 62 62,api.esme@ionis-group.com,https://www.esme.fr/ecole-ingenieur/paris/,4.5,50,,,,93,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
I.F.P.N.L Institut Français de P.N.L,centre_formation_cpf,Paris,"21 Rue Sébastien Mercier, 75015 Paris, France",+33 1 45 75 30 15,charlotte.ferron@ifpnl.fr,http://www.ifpnl.fr/,4.8,72,,,,93,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
IPREC,centre_formation_cpf,Paris,"24 Rue du Faubourg Poissonnière, 75010 Paris, France",+33 1 44 83 84 85,iprec@iprec.fr,http://www.iprec.fr/,4.9,54,,,,93,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
Sophiadel - Bilan de compétences | Coaching professionnel,bilan_competences,Paris,"74 Rue de Patay, 75013 Paris, France",+33 6 19 35 06 96,%20everlead@mikado.com,https://sophiadel.com/,5,80,,,,93,reconversion_reponse_immediate,prioritaire,nouveau,2026-02-23,apify_google_maps,
"Bilan de compétences, Paris, MAM RH",bilan_competences,Paris,"48 Rue de Richelieu, 75001 Paris, France",+33 6 68 04 51 47,isabelle@mam-rh.fr,http://www.mam-rh.fr/,5,68,,,,93,reconversion_reponse_immediate,prioritaire,nouveau,2026-02-23,apify_google_maps,
Laetitia HANUSYN - Psychologue du travail I Coaching professionnel I Bilans de compétences I Création d'entreprise,bilan_competences,Lyon,"21 Rue de Brest, 69002 Lyon, France",+33 6 09 26 96 52,laetitia@le-fil.eu,http://www.le-fil.eu/,4.9,67,,,,93,reconversion_reponse_immediate,prioritaire,nouveau,2026-02-23,apify_google_maps,
Cime Compétences,centre_formation_cpf,Lyon,"Immeuble Le Plaza, 93 Rue de la Villette, 69003 Lyon, France",+33 4 20 10 25 82,contact@cime-competences.fr,http://www.cime-competences.fr/,5,65,,,,93,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
GERESO Formation - Paris,centre_formation_cpf,Paris,"22 Pl. de Catalogne, 75014 Paris, France",+33 800 40 04 60,formation@gereso.fr,https://www.gereso.com/,4.9,62,,,,93,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
Archipel Formation Professionnelle,centre_formation_cpf,Paris,"11 Rue Tronchet, 75008 Paris, France",+33 1 42 65 00 42,contact@archipel-formation.com,https://www.archipel-formation.com/,5,61,,,,93,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
ITECH Lyon,ecole_ingenieur,Écully,"87 Chem. des Mouilles, 69134 Écully cedex, France",+33 4 72 18 04 80,info@itech.fr,http://www.itech.fr/,4.7,45,,,,90,appels_inscription_rush,prioritaire,nouveau,2026-02-23,apify_google_maps,
Ecole d'ingénieurs Paris Centre - ESME,centre_formation_cpf,Paris,"34 Rue de Fleurus, 75006 Paris, France",+33 1 56 20 62 00,api.esme@ionis-group.com,https://www.esme.fr/ecole-ingenieur/paris/,4.5,45,,,,90,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
École supérieure d'ingénieurs Léonard-de-Vinci (ESILV),centre_formation_cpf,Courbevoie,"12 Av. Léonard de Vinci, 92400 Courbevoie, France",+33 1 81 00 28 38,admissions@esilv.fr,https://www.esilv.fr/,4.2,166,,,,90,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
"Evo'Carrières, bilans de compétences, accompagnements V.A.E - Lyon, Mâcon",centre_formation_cpf,Villefranche-sur-Saône,"337 Av. Joseph Balloffet, 69400 Villefranche-sur-Saône, France",+33 6 62 74 42 26,contact@evocarrieres.com,https://evocarrieres.com/,5,21,,,,90,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
Direction Compétences,bilan_competences,Paris,"44 Rue du Louvre, 75001 Paris, France",+33 6 64 81 95 07,contact@direction-competences.fr,https://direction-competences.fr/,4.9,46,,,,90,reconversion_reponse_immediate,prioritaire,nouveau,2026-02-23,apify_google_maps,
IFLV - Institut de Formation en langues vivantes,ecole_langues,Paris,"5 Rue de la Banque, 75002 Paris, France",+33 1 42 66 38 46,contact@iflv.fr,http://www.iflv.fr/,5,121,,,,90,eleves_pause_dej,prioritaire,nouveau,2026-02-23,apify_google_maps,
Une Autre Langue Lyon - Formations Anglais Espagnol Italien Français Allemand Portugais,ecole_langues,Lyon,"38 Quai du Dr Gailleton, 69002 Lyon, France",+33 4 78 85 12 63,contact@uneautrelangue.com,http://www.uneautrelangue.com/,4.9,145,,,,90,eleves_pause_dej,prioritaire,nouveau,2026-02-23,apify_google_maps,
LMconseil Paris - Bilan de compétences,bilan_competences,Paris,"28 Rue Saint-Lazare, 75009 Paris, France",+33 6 07 66 79 45,contact@lmconseil.pro,https://lmconseil.pro/,5,41,,,,90,reconversion_reponse_immediate,prioritaire,nouveau,2026-02-23,apify_google_maps,
Bilan de Compétences à Paris - PROFIL C,bilan_competences,Paris,"45 Rue Broca, 75005 Paris, France",+33 1 84 80 42 13,contact@profil-c.com,https://www.profil-c.com/,5,34,,,,90,reconversion_reponse_immediate,prioritaire,nouveau,2026-02-23,apify_google_maps,
Ecole d'ingénieurs informatique Paris - EPITA,ecole_informatique,Le Kremlin-Bicêtre,"14-16 Rue Voltaire, 94270 Le Kremlin-Bicêtre, France",+33 1 84 07 16 00,contact@epita.fr,https://www.epita.fr/campus/ecole-ingenieur-informatique-paris/,4.1,239,,,,90,appels_inscription_rush,prioritaire,nouveau,2026-02-23,apify_google_maps,
ESGCI,ecole_commerce,Paris,"25 Rue Saint-Ambroise, 75011 Paris, France",+33 1 86 47 29 93,info@esgci.com,https://www.esgci.com/?utm_campaign=gmb&utm_medium=organic&utm_source=google,3.9,376,,,,90,appels_inscription_rush,prioritaire,nouveau,2026-02-23,apify_google_maps,
IF PARIS - Organisme De formation En Pédagogie - Initiative & Formation Paris - Gestion Mentale,centre_formation_cpf,Paris,"39 Rue Notre Dame des Champs, 75006 Paris, France",+33 6 79 83 19 51,ifparis.formation@orange.fr,https://www.ifparis.org/,5,21,,,,90,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
ISC Paris,ecole_commerce,Levallois-Perret,"10-12 Rue Victor Hugo, 92300 Levallois-Perret, France",+33 1 40 53 99 99,rsotto@iscparis.com,http://www.iscparis.com/,3.7,246,,,,90,appels_inscription_rush,prioritaire,nouveau,2026-02-23,apify_google_maps,
"Florine Niant, bilans de compétences, coaching professionnel, orientation, outplacement",bilan_competences,Lyon,"3 Pl. Bénédict Teissier, 69005 Lyon, France",+33 6 02 71 91 27,florineniant@hotmail.com,https://www.florineniant.com/,5,36,,,,90,reconversion_reponse_immediate,prioritaire,nouveau,2026-02-23,apify_google_maps,
ESIEA,centre_formation_cpf,Ivry-sur-Seine,"4 All. Katherine Johnson, 94200 Ivry-sur-Seine, France",+33 1 43 90 21 21,esiea.fr-formations-ingenieur-stages@2x.webp,http://www.esiea.fr/,4.2,132,,,,90,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
Evolu Formation - Formation professionnelle continue,centre_formation_cpf,Lyon,"Tour Part-Dieu, 129 Rue Servient, 69003 Lyon, France",+33 4 28 29 25 33,contact@evoluformation.com,http://www.evoluformation.com/,5,36,,,,90,prospects_cpf_messagerie,prioritaire,nouveau,2026-02-23,apify_google_maps,
